SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2021-Main/5f46b414cc65b2e992e59f49d1f02be1-satch2ways12wu.cnf,1534,732017,1174537,371738881,31762643,0,0,0,0,,35.00,94.1194,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/139c1262e5901a684005ffad897aa7eb-maximum_constrained_partition_18_bits_n200.cnf,2046,1024731,3162366,775234868,54961767,0,0,0,0,,96.00,170.732,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/afaee41956622725cf3bb98db6ff9bbb-SC21_Timetable_C_241_E_34_Cl_16_S_13.cnf,14331,8742804,930170718,22149860312,518753695,0,0,0,0,,236.00,4997.33,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/e4058a36518bf65fac7b0b866f139235-sp4-33-one-stri-tree-noid.cnf,2092,1138497,1497090,306766586,84791329,0,0,0,0,,42.00,142.838,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fb621b2b4a54ec0f01ac36daaa7f0f5b-HCP-470-105.cnf,53245,38447392,73325541,5934720169,1442547211,0,0,0,0,,343.00,4985.38,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3cff772a004fbdf616a65ec099ec7bd5-b2005-p1-12x12c10h7-Ser4-0.cnf,9852,6114673,11802953,13735934105,1350156269,0,0,0,0,,307.00,4984.42,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/606bd8b9c178c8445d8c3fc413d46885-mp1-klieber2017s-1000-024-eq.cnf,25339,17127529,17923697,17920483623,598749096,0,0,0,0,,82.00,4998.97,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b63f00e3eccd98dfa7bae6c4e1e0cdd0-at-least-two-maris-s03-gripper11.cnf,3712,1917280,3767845,411892938,130308862,0,0,0,0,,44.00,127.525,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/5fb0d1f02c02c6a7fb485707b637d7e4-bvsub_12973.smt2.cnf,3519,1807604,780240382,10418375791,13970073,0,0,0,0,,225.00,2676.96,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c1c25b65adbd9fdde56cd489ab557e71-spg_300_312.cnf,1165,560540,4224309,510946442,11255364,0,0,0,0,,309.00,155.1,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/b88d206fb35ef87bd7ec5d4a1430ae0c-20-100-p100-55_sat.cnf,6139,3401420,7722220,6368719084,101611263,0,0,0,0,,128.00,2138.61,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c50dd1b0f41a1adcdfed8d663add9428-20-100-lambda100-65_sat.cnf,1852,864169,2121265,598967766,19130730,0,0,0,0,,33.00,132.68,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/3354c5f91c523cfc42dab6a40129d102-size_5_5_5_i003_r12.cnf,49150,36024348,47778898,7910253975,2191162475,0,0,0,0,,182.00,4995.29,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/68dc114bb8e479d8cc81faed8b2fceb5-Kakuro-easy-156-ext.xml.hg_7.cnf,1533,711251,6643991,823500027,15490962,0,0,0,0,,1190.00,553.997,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/25cfa39c61494e9e793f6c6a9ec44be3-puzzle51_unsat.cnf,14508,8975652,15082339,14994260588,410743277,0,0,0,0,,116.00,4997.92,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/f51d3940d97c1019081744d94bf08778-MVD_ADS_S4_5_5.cnf,4,448,572,10156,2310,0,0,0,0,,70.00,0.282786,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c41c74f316a2067cc19708ce982d960a-WS_400_16_90_70.apx_0.cnf,2045,952858,1228249,168881932,33631477,0,0,0,0,,19.00,93.2052,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/9b81119141db098dd4bfb24a1d244e68-Kakuro-easy-051-ext.xml.hg_4.cnf,14330,8737101,15279632,6290824016,365687718,0,0,0,0,,550.00,4411,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/50468d740d0d9cd69c43e4122014d60e-sted6_0x1e3-97.cnf,4095,2330768,3401209,300317428,83466075,0,0,0,0,,33.00,192.736,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fab5698f06861b62c881c77630fbcd4d-Kakuro-easy-142-ext.xml.hg_8.cnf,1023,478190,4596339,657975145,10572053,0,0,0,0,,1184.00,348.296,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/2260d28ec773357e73e5ee60aeac0f43-b2005-p1-12x12c10h7-Ser3-0.cnf,7675,4296554,9526529,14793106866,930799967,0,0,0,0,,307.00,4987.57,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/872d022f6406e00933b831ffd05e26a0-b2005-p4-12x12c10h7-Ser3-0.cnf,5756,3246190,7002755,12768276546,677224291,0,0,0,0,,305.00,4989.14,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/c9aeaebe08aa8abf73a800decfbc01b3-ctl_4291_567_1_unsat.cnf,16383,11035727,13749057,4456285682,227105754,0,0,0,0,,92.00,1491.62,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/ff4b033c2a2da4100f0b1e83c49c5f80-Circuit_multiplier25.cnf,29611,19659925,22994080,2144630933,702225553,0,0,0,0,,109.00,4996.67,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/50d081a4b18eecdd0bc120f634d57a26-randomG-n18-d05.cnf,81933,63970518,75883304,1559210271,2456570639,0,0,0,0,,189.00,4991.78,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3b784f7f6fab6c024647a18855f6edaf-spg_300_301.cnf,1027,513073,9608433,246554592,7724808,0,0,0,0,,482.00,72.4691,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/aa296db0e5a58249734a370ef5eee0cd-at-least-two-traffic_pcb_unknown.cnf,2174,1170325,6764635,296853042,24968323,0,0,0,0,,186.00,189.54,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/df6aa71659ddda7143b6e2e72d7d4675-problem_12.smt2.cnf,8701,5524200,9895847,19928267690,653125017,0,0,0,0,,151.00,4998.95,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/62269a9d08e3592f3fd7e2c8af1e3fe9-pb_300_10_lb_06.cnf,1820,853733,1690354,658977233,31665707,0,0,0,0,,108.00,325.775,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/7042dbc5432e4d78f81ec4041e10a387-mp1-blockpuzzle_9x9_s1_free8.cnf,21091,14210916,30223178,4212697044,5324819368,0,0,0,0,,633.00,4971.73,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/887e8caf9138890d880c6f7f70474994-at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,508,184705,1798173,719120865,186542627,0,0,0,0,,762.00,491.283,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/8d0d8d3bf320c710d2691ff31032dc01-sum_of_3_cubes_145_bits_74.cnf,4094,2176898,10128321,10060161531,388817328,0,0,0,0,,378.00,4993.85,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/85ba26d796de9ad740ce5a6813488fbc-sted2_0x1e3-216.cnf,11261,6953189,10841027,1853903111,401660719,0,0,0,0,,77.00,916.371,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/324b2441c6f1fa9d5f3cf3a4c8447fc7-SC21_Timetable_C_512_E_66_Cl_34_S_35.cnf,18570,12654625,3587121690,17868342056,1740562780,0,0,0,0,,535.00,4981.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/88a3bb7820b1ca7f189765bb1208f34a-HCP-470-420.cnf,53651,38699048,76936318,6763331948,1608860056,0,0,0,0,,343.00,4975.41,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/bc5b6fdc1a75e144e42d68c0fba444ad-SC21_Timetable_C_181_E_34_Cl_12_S_8.cnf,13052,8121973,400021528,12784537685,1240727500,0,0,0,0,,331.00,4991.9,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/790152d13323c14a7a1f0759ae3b5c28-mp1-bsat210-739.cnf,11772,7198790,8309249,244009178,126816462,0,0,0,0,,34.00,766.791,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/15ba9eb4b0035fb6ed11a03c7df21870-ktf_TF-6.tf_4_0.04_51.cnf,8191,5274116,8887971,20465978708,238676991,0,0,0,0,,88.00,4998.91,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/be6c656f34ba9ada4bb10a2182a6fa88-vlsat2_142_6781.cnf,20475,13593436,18214053,17361176107,1481608433,0,0,0,0,,613.00,4979.3,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/7f3b49026cf0ec9d2d76b0d9b2c61f8e-HCP-424-60.cnf,24574,16697297,32032957,2464644225,545357406,0,0,0,0,,166.00,1661.4,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/7df8389c5b329a2e118a50a94c254e7d-blocks-blocks-36-0.180-SAT.cnf,46,10450,335426,124953751,9464422,0,0,0,0,,747.00,47.6741,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c08b00ee4667b900f38c60ea521be6e7-ktf_TF-3.tf_4_0.04_48.cnf,11260,6917297,11034193,26680158709,261992117,0,0,0,0,,89.00,4998.35,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/eda4aa84aeeb306468396fa82a6bba5a-pb_300_05_lb_17.cnf,668,281729,815672,589333895,32932899,0,0,0,0,,114.00,228.481,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/453e2197c9226f8c99b3a740c7711723-crafted_n12_d6_c3_num18.cnf,3324,1729416,2596655,3059405522,896194013,0,0,0,0,,532.00,1176.43,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/77b103479539a71c9fe27ac5333eea89-huck.col.11.cnf,2186,1174660,1396354,26996808,36392843,0,0,0,0,,29.00,46.0702,0,0,0,0,0,UNSATISFIABLE
