SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,318,118767,1451462,215259298,8737525,0,0,0,0,,94.00,70.9044,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,13,1958,162367,8501447,109195,0,0,0,0,,64.00,3.02784,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,190,60919,1042447,138821474,4139933,0,0,0,0,,94.00,49.1152,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,56,12740,323294,24549492,707638,0,0,0,0,,83.00,9.0179,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,545,239073,2129567,451439546,19232751,0,0,0,0,,124.00,160.722,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,262,103428,1208807,283712823,6955554,0,0,0,0,,94.00,100.727,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,366,133141,1540650,251669773,8724701,0,0,0,0,,94.00,87.2993,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,236,74749,967171,137759287,4477018,0,0,0,0,,94.00,48.4462,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,253,81424,1068902,183447596,5048581,0,0,0,0,,94.00,67.1133,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,615,259548,2275228,828148593,20981105,0,0,0,0,,94.00,284.469,0,0,0,0,0,SATISFIABLE
