SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2021-Main/5f46b414cc65b2e992e59f49d1f02be1-satch2ways12wu.cnf,924,385070,517363,195812250,12370790,0,0,0,0,,19.00,44.5739,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/139c1262e5901a684005ffad897aa7eb-maximum_constrained_partition_18_bits_n200.cnf,4094,2195875,6352063,1606038552,101871320,0,0,0,0,,108.00,436.638,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/afaee41956622725cf3bb98db6ff9bbb-SC21_Timetable_C_241_E_34_Cl_16_S_13.cnf,10355,6488203,419381600,15674041838,319743695,0,0,0,0,,180.00,4992.06,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/e4058a36518bf65fac7b0b866f139235-sp4-33-one-stri-tree-noid.cnf,3069,1564666,2074560,389200987,123935763,0,0,0,0,,69.00,220.589,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fb621b2b4a54ec0f01ac36daaa7f0f5b-HCP-470-105.cnf,46076,32877025,57846801,4943947603,1282419748,0,0,0,0,,341.00,4983.81,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3cff772a004fbdf616a65ec099ec7bd5-b2005-p1-12x12c10h7-Ser4-0.cnf,8860,5613199,10876192,12486824684,1268579419,0,0,0,0,,307.00,4985.21,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/606bd8b9c178c8445d8c3fc413d46885-mp1-klieber2017s-1000-024-eq.cnf,18412,12400876,13129706,14590263947,459588057,0,0,0,0,,65.00,4999.05,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b63f00e3eccd98dfa7bae6c4e1e0cdd0-at-least-two-maris-s03-gripper11.cnf,4095,2380587,4182683,506477314,187948431,0,0,0,0,,58.00,161.349,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/5fb0d1f02c02c6a7fb485707b637d7e4-bvsub_12973.smt2.cnf,3739,1923213,579961308,9498954792,13999958,0,0,0,0,,239.00,4764.86,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c1c25b65adbd9fdde56cd489ab557e71-spg_300_312.cnf,8282,5354469,31659299,10430509375,221122829,0,0,0,0,,522.00,4996.79,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b88d206fb35ef87bd7ec5d4a1430ae0c-20-100-p100-55_sat.cnf,14844,9136870,17717225,16189992404,301152354,0,0,0,0,,201.00,4998.5,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/c50dd1b0f41a1adcdfed8d663add9428-20-100-lambda100-65_sat.cnf,5118,2924676,5852985,1976295187,72703305,0,0,0,0,,61.00,523.374,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/3354c5f91c523cfc42dab6a40129d102-size_5_5_5_i003_r12.cnf,44539,31796540,42785819,7801197548,1959755872,0,0,0,0,,175.00,4990.77,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/68dc114bb8e479d8cc81faed8b2fceb5-Kakuro-easy-156-ext.xml.hg_7.cnf,2046,975153,5853986,1086214836,22807825,0,0,0,0,,1521.00,568.558,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/25cfa39c61494e9e793f6c6a9ec44be3-puzzle51_unsat.cnf,20218,13442096,22554717,19935664643,612031158,0,0,0,0,,157.00,4985.37,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/f51d3940d97c1019081744d94bf08778-MVD_ADS_S4_5_5.cnf,3,367,450,9365,1826,0,0,0,0,,73.00,0.303267,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c41c74f316a2067cc19708ce982d960a-WS_400_16_90_70.apx_0.cnf,3098,1645908,2055274,288716274,58410658,0,0,0,0,,28.00,188.852,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/9b81119141db098dd4bfb24a1d244e68-Kakuro-easy-051-ext.xml.hg_4.cnf,9594,5981556,10143733,3780869149,255013561,0,0,0,0,,528.00,1897.24,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/50468d740d0d9cd69c43e4122014d60e-sted6_0x1e3-97.cnf,8507,5448645,7574758,693203928,197165307,0,0,0,0,,38.00,579.57,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fab5698f06861b62c881c77630fbcd4d-Kakuro-easy-142-ext.xml.hg_8.cnf,2429,1271137,6700579,1800004226,35040346,0,0,0,0,,1518.00,945.422,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/2260d28ec773357e73e5ee60aeac0f43-b2005-p1-12x12c10h7-Ser3-0.cnf,8604,5485142,11039221,19231718566,1295632652,0,0,0,0,,312.00,4986.27,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/872d022f6406e00933b831ffd05e26a0-b2005-p4-12x12c10h7-Ser3-0.cnf,6141,3464333,7439587,13621819774,732189346,0,0,0,0,,306.00,4988.43,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/c9aeaebe08aa8abf73a800decfbc01b3-ctl_4291_567_1_unsat.cnf,14333,8906343,10385448,3442195704,183121126,0,0,0,0,,79.00,1137.87,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/ff4b033c2a2da4100f0b1e83c49c5f80-Circuit_multiplier25.cnf,8215,5334819,6486734,510894351,176900608,0,0,0,0,,60.00,630.335,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/50d081a4b18eecdd0bc120f634d57a26-randomG-n18-d05.cnf,78752,60664077,72010332,1444248072,2418225401,0,0,0,0,,207.00,4993.2,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3b784f7f6fab6c024647a18855f6edaf-spg_300_301.cnf,5118,2945826,25351988,7448389109,94809886,0,0,0,0,,668.00,4990.5,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/aa296db0e5a58249734a370ef5eee0cd-at-least-two-traffic_pcb_unknown.cnf,2047,1066136,1256487,240535390,23705267,0,0,0,0,,174.00,157.824,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/df6aa71659ddda7143b6e2e72d7d4675-problem_12.smt2.cnf,9214,5799246,10910379,19433266545,666009181,0,0,0,0,,145.00,4994.93,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/62269a9d08e3592f3fd7e2c8af1e3fe9-pb_300_10_lb_06.cnf,1641,772855,1633105,598537975,30626813,0,0,0,0,,102.00,191.296,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/7042dbc5432e4d78f81ec4041e10a387-mp1-blockpuzzle_9x9_s1_free8.cnf,29987,19910754,44333091,4541764420,7914427815,0,0,0,0,,623.00,4980.1,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/887e8caf9138890d880c6f7f70474994-at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,413,155141,1292591,553566780,169390286,0,0,0,0,,841.00,335.969,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/8d0d8d3bf320c710d2691ff31032dc01-sum_of_3_cubes_145_bits_74.cnf,6276,3633820,16644098,18257829493,676029959,0,0,0,0,,428.00,4996.79,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/85ba26d796de9ad740ce5a6813488fbc-sted2_0x1e3-216.cnf,12286,7630992,11959480,2022888003,449816711,0,0,0,0,,88.00,1017.92,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/324b2441c6f1fa9d5f3cf3a4c8447fc7-SC21_Timetable_C_512_E_66_Cl_34_S_35.cnf,32767,23468575,69824519,11846430122,3182099148,0,0,0,0,,420.00,4986.34,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/88a3bb7820b1ca7f189765bb1208f34a-HCP-470-420.cnf,45551,32575261,56081205,5036719535,1284109093,0,0,0,0,,343.00,4984.37,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/bc5b6fdc1a75e144e42d68c0fba444ad-SC21_Timetable_C_181_E_34_Cl_12_S_8.cnf,16383,10723642,280675242,15223471750,1675446421,0,0,0,0,,332.00,4992.73,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/790152d13323c14a7a1f0759ae3b5c28-mp1-bsat210-739.cnf,16383,11132369,12868102,370335794,204003180,0,0,0,0,,56.00,1529.93,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/15ba9eb4b0035fb6ed11a03c7df21870-ktf_TF-6.tf_4_0.04_51.cnf,10748,6653714,11436671,24534600017,302681647,0,0,0,0,,115.00,4997.91,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/be6c656f34ba9ada4bb10a2182a6fa88-vlsat2_142_6781.cnf,18424,12410703,24901129,16244807820,2074059848,0,0,0,0,,639.00,4968.44,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/7f3b49026cf0ec9d2d76b0d9b2c61f8e-HCP-424-60.cnf,49150,35803704,60449021,4548622092,1447618457,0,0,0,0,,238.00,4986.59,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/7df8389c5b329a2e118a50a94c254e7d-blocks-blocks-36-0.180-SAT.cnf,31,7250,596767,90562706,3948464,0,0,0,0,,748.00,40.9849,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c08b00ee4667b900f38c60ea521be6e7-ktf_TF-3.tf_4_0.04_48.cnf,9746,6079641,9943236,22253687634,238341927,0,0,0,0,,77.00,4997.07,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/eda4aa84aeeb306468396fa82a6bba5a-pb_300_05_lb_17.cnf,509,188926,665535,375764609,22737106,0,0,0,0,,114.00,138.228,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/453e2197c9226f8c99b3a740c7711723-crafted_n12_d6_c3_num18.cnf,3325,1738638,2984822,2343831827,1302571658,0,0,0,0,,536.00,1596.14,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/77b103479539a71c9fe27ac5333eea89-huck.col.11.cnf,2819,1462122,1692190,33964979,45264388,0,0,0,0,,28.00,54.8951,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/67133027ab55906e3b757148ca7011dd-snw_16_9_Encpre.cnf,4095,2413118,3695804,14443485533,115861959,0,0,0,0,,161.00,4993.56,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/cab122ecb0ca8f09d0e53eb81ac4bcf9-erin2_0x0_n207-379.cnf,8445,5420417,6397803,3480308374,166522523,0,0,0,0,,41.00,1416.57,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/aa09403249f021450cc798cc560a14a3-prime_a20_b20.cnf,349,129142,218458,51858000,7215394,0,0,0,0,,13.00,15.0631,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/33e82a3b6df2b2b63291775c0133a32f-MVD_ADS_S1_5_5.cnf,3,339,444,9342,1592,0,0,0,0,,77.00,0.315391,0,0,0,0,0,UNSATISFIABLE
