SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,29,5330,223470,13408412,148267,0,0,0,0,,65.00,5.77397,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,2317,1232801,5984245,2171556097,146119340,0,0,0,0,,149.00,769.527,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,4574,2635039,11677812,7296024842,356040765,0,0,0,0,,179.00,2862.2,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,2744,1416428,7079065,4031549856,181939049,0,0,0,0,,173.00,1693.64,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,6141,3472562,14493149,6983416873,419948578,0,0,0,0,,198.00,2815.08,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,10493,6549786,24465816,12478186440,866467996,0,0,0,0,,205.00,4996.37,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,9915,6137050,23206202,11246652674,763810974,0,0,0,0,,210.00,4996.59,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,3599,1874603,9178028,4228361609,210697501,0,0,0,0,,180.00,1714.84,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,3212,1688161,7939620,3908465528,202381221,0,0,0,0,,131.00,1385.79,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,11119,6822139,26337026,13081183792,902649252,0,0,0,0,,210.00,4997.95,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,3070,1596281,7661927,3891138770,199699267,0,0,0,0,,179.00,1533.48,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,10747,6649750,24982657,11767559206,837762576,0,0,0,0,,209.00,4997.34,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,3188,1672067,8275656,3056035378,193297509,0,0,0,0,,150.00,1606.44,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,8190,4837343,19359185,10567190112,625742190,0,0,0,0,,209.00,4996.73,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,4793,2749111,12044901,5386924092,328625482,0,0,0,0,,161.00,2838.77,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1261.cnf,2802,1435057,7449882,2792129885,159845412,0,0,0,0,,132.00,1066.96,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1281.cnf,9723,6028658,23437710,12554825373,802539218,0,0,0,0,,210.00,4999.45,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1301.cnf,2172,1162103,5883627,2175868212,130450722,0,0,0,0,,124.00,726.153,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1321.cnf,10236,6282147,24067262,11405834052,771899670,0,0,0,0,,209.00,4997.59,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1341.cnf,9099,5711050,22224439,11449208498,749248888,0,0,0,0,,198.00,4996.93,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1361.cnf,4923,2808346,12408949,5761659113,339481267,0,0,0,0,,191.00,2501.61,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1381.cnf,8191,4959211,20338142,10863624778,650445059,0,0,0,0,,198.00,4996.76,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1401.cnf,3447,1775297,8376697,4007963901,201622366,0,0,0,0,,142.00,1673.84,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-141.cnf,2,179,30562,5784154,8300,0,0,0,0,,64.00,2.86084,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1421.cnf,7802,4368572,17810477,8324039598,529375655,0,0,0,0,,198.00,3376.39,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1441.cnf,2047,1037117,5630368,2224875104,111705722,0,0,0,0,,131.00,852.554,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1461.cnf,2047,1036243,5638969,2132964859,111703886,0,0,0,0,,131.00,818.28,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1481.cnf,5404,3083272,13485234,6036688309,369845526,0,0,0,0,,131.00,2410.79,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1501.cnf,9596,5989669,22894753,11900113443,752829845,0,0,0,0,,209.00,4997.41,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1521.cnf,9212,5759100,22710955,11403152780,785822421,0,0,0,0,,209.00,4697.63,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1541.cnf,4095,2386588,10173435,4548215172,280616422,0,0,0,0,,141.00,2091.33,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1561.cnf,8190,4725490,19233817,10466187570,593935984,0,0,0,0,,210.00,4998.1,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1581.cnf,7266,4128766,17397460,10281812047,516884497,0,0,0,0,,209.00,4998.06,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1601.cnf,7481,4217239,17837708,9717052800,534731057,0,0,0,0,,209.00,4722.96,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-161.cnf,1099,533721,3711135,1097774954,57232410,0,0,0,0,,124.00,524.369,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1621.cnf,2488,1288328,6696869,3450664039,162093779,0,0,0,0,,124.00,1662.34,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1641.cnf,10233,6256582,24127845,11082772508,766817065,0,0,0,0,,209.00,4652.32,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1661.cnf,9337,5875587,22646842,12022322722,804325259,0,0,0,0,,209.00,4997.41,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1681.cnf,9214,5828711,22900750,11900756025,809065207,0,0,0,0,,234.00,4997.46,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1701.cnf,1580,754204,4714597,2124251714,82810880,0,0,0,0,,124.00,819.898,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1721.cnf,7355,4162823,17775840,10864345824,540602387,0,0,0,0,,191.00,4997,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1741.cnf,2171,1161370,6052942,3297547020,138878058,0,0,0,0,,131.00,1392.22,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1761.cnf,9771,6084546,23548928,11520770768,730413129,0,0,0,0,,209.00,4997.22,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1781.cnf,6010,3343692,14469673,7112464222,399004254,0,0,0,0,,179.00,3031.88,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1801.cnf,8190,4800302,19729897,10851552351,614745573,0,0,0,0,,198.00,4997.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-181.cnf,8550,5461365,20912760,11019864862,688427111,0,0,0,0,,216.00,4995.44,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1821.cnf,9299,5866016,22703297,11214899435,766186767,0,0,0,0,,209.00,4992.68,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1841.cnf,8187,4541198,18970033,10999655672,584151824,0,0,0,0,,209.00,4996.78,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1861.cnf,9308,5868612,21876735,11276703426,741764128,0,0,0,0,,209.00,4996.95,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1881.cnf,9499,5951145,22671453,11359269295,764906173,0,0,0,0,,240.00,5001.59,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1901.cnf,3002,1520468,7829796,3959099163,180945335,0,0,0,0,,161.00,1308.61,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1921.cnf,3070,1613491,7832277,3566611311,195474378,0,0,0,0,,150.00,1215.42,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1941.cnf,8189,4637836,19090986,10065076852,568103348,0,0,0,0,,191.00,3579.88,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1961.cnf,11260,6911185,26383187,12265238509,867856167,0,0,0,0,,216.00,4996.68,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1981.cnf,7164,4043803,17428013,8259039551,476769178,0,0,0,0,,198.00,3739.77,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2001.cnf,4953,2818239,11859057,7392694736,358423772,0,0,0,0,,198.00,3325.33,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-201.cnf,8191,5020962,19931219,10788189822,662395169,0,0,0,0,,209.00,4997.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2021.cnf,8188,4588083,18943564,10426493772,561668211,0,0,0,0,,168.00,4649.89,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2041.cnf,9689,6015799,23418267,11166648730,801232218,0,0,0,0,,209.00,4996.72,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2061.cnf,6142,3531155,15097926,11008877651,478547835,0,0,0,0,,180.00,4997.26,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2081.cnf,7481,4217586,17153056,10541404739,532129127,0,0,0,0,,180.00,4142.9,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2101.cnf,11779,7202012,27880397,12142262017,891901400,0,0,0,0,,209.00,4858.67,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2121.cnf,10236,6290150,24020981,12562949980,787457788,0,0,0,0,,209.00,4998.96,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2141.cnf,12072,7313707,27794713,14468799731,972034199,0,0,0,0,,226.00,4996.76,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2161.cnf,8188,4592498,19350284,11219802900,614970904,0,0,0,0,,221.00,4997.46,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2181.cnf,3116,1651553,8033060,4176628451,204947408,0,0,0,0,,179.00,1748.39,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-21.cnf,2,118,23943,977417,3145,0,0,0,0,,64.00,0.750865,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2201.cnf,8540,5459177,20259019,11276821365,732332279,0,0,0,0,,217.00,4993.68,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-221.cnf,4311,2529117,11151826,4167159814,297591264,0,0,0,0,,150.00,1776.96,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2221.cnf,10032,6187852,24192668,14674848648,846795487,0,0,0,0,,191.00,4997.14,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2241.cnf,4092,2083609,9915165,4406279673,230766152,0,0,0,0,,132.00,1906.76,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2261.cnf,3116,1650799,8031888,4122668661,204910046,0,0,0,0,,180.00,1817.18,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2281.cnf,8190,4847206,19494706,10732343638,647009174,0,0,0,0,,209.00,4997.33,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2301.cnf,8642,5497396,20609546,10526034277,732004675,0,0,0,0,,198.00,4761.07,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2321.cnf,8191,4931250,19563675,10985373012,636691698,0,0,0,0,,209.00,4997.46,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2341.cnf,3133,1657482,8057440,4537211865,205072737,0,0,0,0,,180.00,1928.75,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2361.cnf,2914,1489208,7189981,2939284811,175088078,0,0,0,0,,131.00,1218.05,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2381.cnf,9144,5721745,22059689,11248998080,701249858,0,0,0,0,,190.00,4996.73,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2401.cnf,9915,6137230,23388257,12243518471,882999516,0,0,0,0,,240.00,4998.78,0,0,0,0,0,INDETERMINATE
