SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2022-Main/c2828483a78420f9a90e3ed9728c06cc-GP_100_951_37.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014.cnf,32767,24190357,57551805,15936996345,1440900089,0,0,0,0,,176.00,4997.64,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d702aa8568706efda8308ef8d24f907b-div-mitern167.cnf,32765,22077292,25723983,15363857210,754862866,0,0,0,0,,95.00,4995.8,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/7c15baa29f2228703e5161bfabd91773-reconf10_140_queen6_1.cnf,7420,4201672,9457472,9876778095,199434843,0,0,0,0,,325.00,2663.44,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e25f9f0d4ef05401fd9ab45a2538c1c-summle_X111117_steps8_I1-2-2-4-4-8-25-100.cnf,613,259365,647634,757747636,14238782,0,0,0,0,,57.00,221.562,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/d6c845a5f92ebc059b3f0ab2f6d395ed-cfi-rigid-z2-0088-02-or_2_shuffle_all.cnf,2946,1506387,47296855,896058839,435724045,0,0,0,0,,1087.00,1136.02,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/129162378e8ad29b5485a9c53feee4b7-hantzsche_wendt_unit_93.cnf,1788,831393,1015128,1002868304,100121452,0,0,0,0,,44.00,227.772,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e66b728b2445ec69f27e0f1a49f4b29-006.cnf,7554,4248321,19767717,579956814,454532857,0,0,0,0,,139.00,295.578,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/78cdffdf5bbb89beb753f9ffab7fa45f-sudoku-N30-6.cnf,765,314548,6865051,11284714417,565768921,0,0,0,0,,404.00,4981.62,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/c3b4a96d92da617218449abad4334d6d-div-mitern164.cnf,32765,21859546,26071957,16279138184,810881752,0,0,0,0,,89.00,4998.95,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d78819115db81dee343d7777fbc5844f-cfi-rigid-s2-0064-02-or_2.cnf,908,380712,2591084,229776841,135515888,0,0,0,0,,945.00,108.891,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/c1cb62f85f0c6a29c5d3c47d25fbc24a-Carry_Bits_Fast_23.cnf.cnf,2047,1073079,1308982,1437426749,42394316,0,0,0,0,,23.00,307.014,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/cfa14a7015b0f7fecd98e898f3c95896-velev-vliw-sat-4.0-b8.cnf,31,6641,1944370,95227518,348064,0,0,0,0,,657.00,31.8803,0,0,0,0,0,SATISFIABLE
