SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2022-Main/c2828483a78420f9a90e3ed9728c06cc-GP_100_951_37.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014.cnf,32765,21763634,65988179,14646074539,1232817801,0,0,0,0,,167.00,4996.88,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d702aa8568706efda8308ef8d24f907b-div-mitern167.cnf,32767,23712198,28550088,14677685621,870932465,0,0,0,0,,89.00,4998.2,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/7c15baa29f2228703e5161bfabd91773-reconf10_140_queen6_1.cnf,3069,1579345,5112966,4560654636,86161482,0,0,0,0,,250.00,1047.07,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e25f9f0d4ef05401fd9ab45a2538c1c-summle_X111117_steps8_I1-2-2-4-4-8-25-100.cnf,595,253912,542959,733986357,14288794,0,0,0,0,,54.00,145.666,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/d6c845a5f92ebc059b3f0ab2f6d395ed-cfi-rigid-z2-0088-02-or_2_shuffle_all.cnf,4095,2383347,72991561,1398617145,744736395,0,0,0,0,,1102.00,1403.42,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/129162378e8ad29b5485a9c53feee4b7-hantzsche_wendt_unit_93.cnf,2047,1086546,1503970,1344336415,175519127,0,0,0,0,,111.00,283.858,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e66b728b2445ec69f27e0f1a49f4b29-006.cnf,32765,22023758,69637587,3234359069,3069341626,0,0,0,0,,225.00,2299.41,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/78cdffdf5bbb89beb753f9ffab7fa45f-sudoku-N30-6.cnf,668,281735,7279969,9836326208,494096005,0,0,0,0,,404.00,4994.48,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
