SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,14331,8755198,33361210,13038098277,1046890026,0,0,0,0,,284.00,4996.24,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,14657,9040663,33895785,13195818464,1125307324,0,0,0,0,,296.00,4995.96,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,14844,9127720,34564484,14560248774,1101780246,0,0,0,0,,284.00,4995.95,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,13370,8317604,31589335,11967140358,993592382,0,0,0,0,,284.00,4995.03,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,15192,9276614,35200008,14816316496,1118608578,0,0,0,0,,284.00,4998.72,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,14208,8682031,33096540,12625451542,1034856189,0,0,0,0,,284.00,4996.6,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,14333,8871863,33547639,13940378325,1067188182,0,0,0,0,,284.00,4997.83,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,12286,7744307,29235336,11157352491,929108591,0,0,0,0,,284.00,4997.15,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,12286,7739657,29229525,11127770771,928318859,0,0,0,0,,284.00,4997.09,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,14332,8792078,33417124,13399788943,1054672626,0,0,0,0,,284.00,4998.29,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,14332,8784540,33404464,13310551654,1052962272,0,0,0,0,,284.00,4996.64,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,12924,8065675,30596815,11753513567,966323156,0,0,0,0,,284.00,4995.91,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,14333,8845229,33176206,13037137031,1102463716,0,0,0,0,,296.00,4995.82,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,14333,8836412,33506057,13834462657,1063706782,0,0,0,0,,284.00,4995.97,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,14331,8742441,33344745,12891445304,1043776943,0,0,0,0,,284.00,4996.11,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1261.cnf,14331,8741881,33344092,12882433650,1043632066,0,0,0,0,,284.00,4996.25,0,0,0,0,0,INDETERMINATE
