SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,6,667,64617,9584106,48899,0,0,0,0,,67.00,5.34552,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,38,8819,152407,23719121,524996,0,0,0,0,,74.00,12.855,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,221,71042,1044822,364955328,3872444,0,0,0,0,,96.00,193.898,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,252,78740,1262669,287774204,4432908,0,0,0,0,,96.00,150.664,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,250,77614,1269172,207734065,5439665,0,0,0,0,,95.00,114.798,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,62,14527,457301,99861309,710431,0,0,0,0,,85.00,55.7999,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,421,156687,2237244,185953500,10308409,0,0,0,0,,114.00,93.7971,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,276,106479,1132926,159035971,8797321,0,0,0,0,,114.00,87.9605,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,378,135070,1489806,213973710,10055857,0,0,0,0,,96.00,112.264,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,91,24286,627801,56248434,1474456,0,0,0,0,,85.00,33.6349,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,213,68534,995309,302579884,3953339,0,0,0,0,,96.00,157.512,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,255,95314,1390182,446506597,5557396,0,0,0,0,,96.00,231.06,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,6,619,38385,12870620,19596,0,0,0,0,,66.00,7.8563,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,435,159533,2149456,362417967,13746451,0,0,0,0,,96.00,203.826,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,622,261312,2715850,660224915,21872798,0,0,0,0,,114.00,307.358,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1261.cnf,443,161149,2116504,571383174,9483009,0,0,0,0,,96.00,307.657,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1281.cnf,8191,5164186,18621402,12707756733,704991702,0,0,0,0,,210.00,4993.85,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1301.cnf,318,119786,1700851,609889459,7835310,0,0,0,0,,96.00,325.811,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1321.cnf,136,46188,845759,212523425,2711403,0,0,0,0,,96.00,114.883,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1341.cnf,211,68053,1091771,340953629,3499994,0,0,0,0,,96.00,179.285,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1361.cnf,62,14784,599789,63767875,731709,0,0,0,0,,85.00,34.1641,0,0,0,0,0,SATISFIABLE
