SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,7483,4208650,14956660,11188768408,563750651,0,0,0,0,,199.00,4997.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,8509,5436713,17595726,11105219545,728601104,0,0,0,0,,199.00,4994.34,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,9341,5869485,17750940,14487006079,803626137,0,0,0,0,,218.00,4997.18,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,10330,6467508,20261891,13543220959,921492918,0,0,0,0,,211.00,4995.61,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,8185,4464913,14604447,11445123683,612064000,0,0,0,0,,181.00,4996.84,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,7165,4080796,14080107,11080965829,582458276,0,0,0,0,,181.00,4996.75,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,7674,4243655,14470538,10838982320,570840349,0,0,0,0,,181.00,4996.94,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,7165,4049884,13985382,10878251899,543654209,0,0,0,0,,210.00,4996.88,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,7672,4259413,14198973,11999297886,610790032,0,0,0,0,,181.00,4997.1,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,7683,4317196,15122479,11803160337,571465215,0,0,0,0,,181.00,4997.21,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,8380,5368728,18019669,11966580156,772495584,0,0,0,0,,211.00,4996.35,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,8188,4545419,16821449,11319620200,650572733,0,0,0,0,,211.00,4996.78,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,8267,5335805,16967141,12067004495,740928267,0,0,0,0,,211.00,4987.17,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,6141,3450878,11855205,11071962761,484298656,0,0,0,0,,192.00,4996.88,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,7514,4220492,14175986,11081964291,616673168,0,0,0,0,,199.00,4996.78,0,0,0,0,0,INDETERMINATE
