SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-85150.cnf,1945,896277,6181163,12255243710,74491108,0,0,0,0,,125.00,4998.47,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-25750.cnf,1505,688149,4351515,10904217234,55969068,0,0,0,0,,125.00,4297.91,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-70300.cnf,1849,859483,5823109,11131964040,78491021,0,0,0,0,,125.00,4464.24,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-86500.cnf,1216,577050,4699566,9280509904,36216244,0,0,0,0,,125.00,4999.66,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-92800.cnf,1274,590548,4418713,9362870959,51205035,0,0,0,0,,162.00,4998.12,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-71650.cnf,1739,810268,5440834,9156658019,69019625,0,0,0,0,,125.00,4997.79,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-50500.cnf,1534,723190,5333390,8289250905,58425460,0,0,0,0,,125.00,4610.56,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-13150.cnf,690,287539,2856608,605033026,22062481,0,0,0,0,,125.00,278.126,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-78850.cnf,1724,807003,5413766,12370731715,60933344,0,0,0,0,,125.00,4995.48,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-77950.cnf,1788,832209,5437927,12633874936,71145105,0,0,0,0,,125.00,4997.06,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-46900.cnf,1022,443932,4078388,6855655461,34008753,0,0,0,0,,125.00,2696,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-40600.cnf,1238,581401,4569506,3971375386,52446771,0,0,0,0,,125.00,1574.76,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-10900.cnf,923,384130,3634566,4412853875,33199557,0,0,0,0,,125.00,1942.91,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-46900.cnf,1979,908553,5721865,11678163718,79519125,0,0,0,0,,125.00,4998.93,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-10900.cnf,87,23753,423938,52545665,1175861,0,0,0,0,,84.00,28.4271,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-40600.cnf,1371,640153,4030310,12070496846,53418081,0,0,0,0,,125.00,4998.22,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-13150.cnf,1298,618951,4256805,5697853385,61823660,0,0,0,0,,125.00,2402.63,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-92800.cnf,1211,571845,3628995,12540772704,34756145,0,0,0,0,,125.00,4998.39,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-71650.cnf,1038,515647,3494938,12425392160,31344891,0,0,0,0,,96.00,4998.29,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-50500.cnf,1786,822729,5412753,12179623627,64355667,0,0,0,0,,125.00,4998.24,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-77950.cnf,1538,743857,4466379,12587168175,55970030,0,0,0,0,,125.00,4998.95,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-78850.cnf,1340,631050,4322117,12831616535,43355272,0,0,0,0,,125.00,4998.57,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-70300.cnf,2047,1029291,6144593,12019466059,89509130,0,0,0,0,,162.00,4998.56,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-86500.cnf,1658,776296,5244509,12874540143,59379542,0,0,0,0,,125.00,4998.7,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-85150.cnf,1458,672430,5828928,6029023967,60085241,0,0,0,0,,125.00,2483.44,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-25750.cnf,795,338504,3180548,2333951735,23133038,0,0,0,0,,95.00,1015.32,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-33400.cnf,1086,529415,4571196,2232628036,59219036,0,0,0,0,,132.00,891.422,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-42850.cnf,2045,957892,5796913,12291091565,73259735,0,0,0,0,,125.00,4998.21,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-20350.cnf,1341,631796,4426361,7971732560,54802645,0,0,0,0,,125.00,3229.34,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-100000.cnf,2319,1233551,6796774,12739977511,115029154,0,0,0,0,,162.00,4998.1,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-65800.cnf,1533,715435,4688228,12848625580,52592754,0,0,0,0,,125.00,4990.86,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-75700.cnf,2046,998342,6450066,12099918558,94448092,0,0,0,0,,125.00,4997.12,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-39250.cnf,617,259802,2932524,847833388,20483194,0,0,0,0,,96.00,383.76,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-18100.cnf,1016,410735,3803246,1355989286,33051137,0,0,0,0,,125.00,657.069,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-52750.cnf,1534,740815,4997253,7952717820,56159096,0,0,0,0,,125.00,3459.37,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-19450.cnf,1309,622266,4883577,5482262927,58242358,0,0,0,0,,125.00,2438.47,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-82450.cnf,1084,526319,3813407,7974726754,39526671,0,0,0,0,,125.00,3422.48,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-53200.cnf,1366,639216,4557831,11742251634,45317974,0,0,0,0,,125.00,4998.52,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-19450.cnf,1021,432156,3356528,8067440402,25979003,0,0,0,0,,96.00,3442.37,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-82450.cnf,1604,763622,5474525,12622874637,60246241,0,0,0,0,,125.00,4998.11,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-53200.cnf,1660,780148,4825192,14941810606,66842070,0,0,0,0,,162.00,4998.26,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-75700.cnf,1643,773796,5011512,12102716337,63754086,0,0,0,0,,125.00,4997.8,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-39250.cnf,1404,652494,4387503,11841263384,44549716,0,0,0,0,,95.00,4998.33,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-18100.cnf,1054,520101,3938121,5859943354,39065341,0,0,0,0,,96.00,2304.27,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-52750.cnf,1661,784698,5106058,12663126863,59639386,0,0,0,0,,125.00,4998.59,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-42850.cnf,1149,548727,4391793,5606446437,41132182,0,0,0,0,,125.00,2158.5,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-20350.cnf,997,406922,3700742,7690730034,23510359,0,0,0,0,,96.00,3072.29,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-33400.cnf,1726,807674,5190940,12608672387,62752324,0,0,0,0,,125.00,4998.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-65800.cnf,1692,794811,5063384,12156577121,64754335,0,0,0,0,,125.00,4997.29,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-63550.cnf,1163,559445,3829123,9065822718,46556619,0,0,0,0,,144.00,3566.1,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-26200.cnf,1548,745681,4718352,11516956554,64145660,0,0,0,0,,125.00,4658.14,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-57250.cnf,1436,667992,4345828,12260217461,45794781,0,0,0,0,,125.00,4998.58,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-36100.cnf,1451,670794,4938267,12220547129,41112493,0,0,0,0,,96.00,4998.32,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-23950.cnf,1022,454037,3607235,9589204733,27614915,0,0,0,0,,95.00,3954.51,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-83350.cnf,1251,585616,4013569,11438395863,41350546,0,0,0,0,,144.00,4997.98,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-37450.cnf,1303,619905,3824661,11558873139,42914355,0,0,0,0,,125.00,4998.25,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-94600.cnf,1533,716366,5007444,12295031896,48252062,0,0,0,0,,125.00,4998.14,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-94600.cnf,1979,908803,5875863,13545032736,73733679,0,0,0,0,,125.00,4998.18,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-37450.cnf,931,387288,3790414,3151154680,28170155,0,0,0,0,,96.00,1428.61,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-36100.cnf,1023,496485,3703828,9979595335,31912403,0,0,0,0,,125.00,4132.67,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-83350.cnf,1281,615399,3960861,12872743538,35852786,0,0,0,0,,125.00,4998.17,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-23950.cnf,2044,942980,6633669,7512215050,97866216,0,0,0,0,,151.00,3400.82,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-63550.cnf,1404,653504,4855606,11662604843,48358723,0,0,0,0,,125.00,4996.56,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-26200.cnf,1532,702883,4634493,7447830377,56222356,0,0,0,0,,95.00,2844.01,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-57250.cnf,1023,461739,3416166,5962560658,31695381,0,0,0,0,,96.00,2461.71,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-96850.cnf,753,306759,3593424,1073339907,24711139,0,0,0,0,,95.00,475.705,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-99550.cnf,1466,673799,4305234,12693475029,48716411,0,0,0,0,,125.00,4998.14,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-54550.cnf,1570,751924,4970685,11879926902,62464279,0,0,0,0,,162.00,4996.73,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-73900.cnf,1244,583524,4091528,12313521326,37624615,0,0,0,0,,125.00,4998.1,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-14950.cnf,908,380671,3788174,2659153388,31964303,0,0,0,0,,96.00,1280.75,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-44650.cnf,2173,1162995,6931984,12653252893,125160099,0,0,0,0,,181.00,4998.28,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-89650.cnf,1643,773759,5612130,6302947280,75497651,0,0,0,0,,125.00,2587.96,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-32050.cnf,1451,671217,4529478,12770367882,46204865,0,0,0,0,,96.00,4998.39,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-81100.cnf,1458,672361,4676730,12549779286,46913380,0,0,0,0,,125.00,4998.32,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-21700.cnf,895,378257,3506232,2105524957,28476714,0,0,0,0,,96.00,923.366,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-88300.cnf,1148,547890,4032033,11790156377,32660681,0,0,0,0,,125.00,4998.45,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-59950.cnf,1661,783304,4841449,11586225045,64570116,0,0,0,0,,125.00,4997.83,0,0,0,0,0,INDETERMINATE
