SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2021-Main/5f46b414cc65b2e992e59f49d1f02be1-satch2ways12wu.cnf,380,137148,188327,49316153,3745229,0,0,0,0,,14.00,11.4072,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/139c1262e5901a684005ffad897aa7eb-maximum_constrained_partition_18_bits_n200.cnf,1851,860772,2261208,661614761,52267039,0,0,0,0,,66.00,172.88,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/afaee41956622725cf3bb98db6ff9bbb-SC21_Timetable_C_241_E_34_Cl_16_S_13.cnf,9002,5671474,173941747,16760062473,314312216,0,0,0,0,,335.00,4997.82,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/e4058a36518bf65fac7b0b866f139235-sp4-33-one-stri-tree-noid.cnf,1808,850203,1120508,222668576,60042965,0,0,0,0,,35.00,108.918,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fb621b2b4a54ec0f01ac36daaa7f0f5b-HCP-470-105.cnf,49714,36328169,57941781,5157462699,1286780605,0,0,0,0,,340.00,4982.63,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3cff772a004fbdf616a65ec099ec7bd5-b2005-p1-12x12c10h7-Ser4-0.cnf,8190,4787030,8071774,10907638230,1045865108,0,0,0,0,,304.00,4986.27,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/606bd8b9c178c8445d8c3fc413d46885-mp1-klieber2017s-1000-024-eq.cnf,20477,13669959,14184312,14663096983,427214336,0,0,0,0,,68.00,4099.27,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/b63f00e3eccd98dfa7bae6c4e1e0cdd0-at-least-two-maris-s03-gripper11.cnf,43418,31223504,38806790,7049110211,1799323042,0,0,0,0,,299.00,4994.75,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/5fb0d1f02c02c6a7fb485707b637d7e4-bvsub_12973.smt2.cnf,3196,1678523,406807771,8056441167,11949392,0,0,0,0,,225.00,3170.69,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c1c25b65adbd9fdde56cd489ab557e71-spg_300_312.cnf,5118,2971844,8840123,11067692148,152385590,0,0,0,0,,409.00,4994.32,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b88d206fb35ef87bd7ec5d4a1430ae0c-20-100-p100-55_sat.cnf,7676,4310664,8161333,8558840694,134587978,0,0,0,0,,150.00,4147.2,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c50dd1b0f41a1adcdfed8d663add9428-20-100-lambda100-65_sat.cnf,2558,1340026,2517298,991363194,31648378,0,0,0,0,,52.00,263.635,0,0,0,0,0,SATISFIABLE
