SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2022-Main/c2828483a78420f9a90e3ed9728c06cc-GP_100_951_37.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014.cnf,32766,22259175,62757782,14899094704,1287080594,0,0,0,0,,204.00,4996.32,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d702aa8568706efda8308ef8d24f907b-div-mitern167.cnf,32765,21904764,26216594,13765038262,802284297,0,0,0,0,,88.00,4999,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/7c15baa29f2228703e5161bfabd91773-reconf10_140_queen6_1.cnf,2492,1295041,3858537,3438009354,70612366,0,0,0,0,,221.00,675.011,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e25f9f0d4ef05401fd9ab45a2538c1c-summle_X111117_steps8_I1-2-2-4-4-8-25-100.cnf,444,162310,396231,452946623,8761913,0,0,0,0,,48.00,86.49,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/d6c845a5f92ebc059b3f0ab2f6d395ed-cfi-rigid-z2-0088-02-or_2_shuffle_all.cnf,4095,2414406,68248028,1409734372,697940184,0,0,0,0,,1339.00,1536.7,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/129162378e8ad29b5485a9c53feee4b7-hantzsche_wendt_unit_93.cnf,2456,1280387,1715017,1597269747,190209384,0,0,0,0,,63.00,329.65,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e66b728b2445ec69f27e0f1a49f4b29-006.cnf,8189,4707911,23182965,639669502,501762183,0,0,0,0,,124.00,333.58,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/78cdffdf5bbb89beb753f9ffab7fa45f-sudoku-N30-6.cnf,766,325462,8527337,11977092156,608949355,0,0,0,0,,405.00,4995.78,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/c3b4a96d92da617218449abad4334d6d-div-mitern164.cnf,32766,22337258,27852404,16999070836,982370741,0,0,0,0,,127.00,4998.55,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d78819115db81dee343d7777fbc5844f-cfi-rigid-s2-0064-02-or_2.cnf,945,390138,2723019,229501773,149510347,0,0,0,0,,945.00,120.435,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/c1cb62f85f0c6a29c5d3c47d25fbc24a-Carry_Bits_Fast_23.cnf.cnf,2069,1131803,1397939,1218284592,54599927,0,0,0,0,,17.00,268.037,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/cfa14a7015b0f7fecd98e898f3c95896-velev-vliw-sat-4.0-b8.cnf,31,6641,1944370,95227518,348064,0,0,0,0,,657.00,32.9289,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/eb659cd21250abdc8c9cec49073c32c6-linked_list_swap_contents_safety_unwind59.cnf,81,22784,11042462,1813231319,53947509,0,0,0,0,,1992.00,668.282,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/56e7489da32260e1bdd085a418592ec2-cliquecoloring_n18_k6_c5.cnf,131071,107721910,178271875,1665453267,2958998157,0,0,0,0,,280.00,4993.34,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/e5f5dbace0183455d167a88100312c34-Nb52T6.cnf,507,181690,2257020,8259614863,5176961,0,0,0,0,,1074.00,4983.85,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/ca6db14aaa04027d2b8af47ec910bd68-cfi-rigid-s2-0064-04-or_2.cnf,1788,833070,4540521,499438095,252360484,0,0,0,0,,1072.00,309.153,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/6f956a3f95ccaf35a3de1fe72b9cf79e-soelberg_unit_109.cnf,2047,1069057,1494405,1815972097,254562866,0,0,0,0,,117.00,389.398,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/a2609893b71f219f4635d33ef1ff6eca-j3045_4_gmto_bm1.cnf,26426,17679478,21909226,13670961878,966609008,0,0,0,0,,86.00,4998.21,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/ccb55d1b802617fcb969e12859d66124-g2-mizh-md5-48-2.cnf,6142,3523474,16838445,6043030298,434973323,0,0,0,0,,179.00,1843.58,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/d40af7b45bba9c64033c0dd47b07f4a4-mdp-36-16-sat.cnf,53240,38137090,40000639,12972585488,1399381280,0,0,0,0,,134.00,4997.79,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/8e659f42dd85a193fccc9cbbcc4627ed-sum_of_three_cubes_3_unknown_representation.cnf,2047,1121222,32782045,16241053469,138492423,0,0,0,0,,1638.00,4986.81,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/7edaa759315f3762eee756c5bb843599-SC22_Timetable_C_436_E_42_Cl_29_S_27.cnf,24472,15965797,2718827868,19471397078,1767380367,0,0,0,0,,457.00,4981.59,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/a44fce1796383ea31df08af3b0f65db3-soelberg_unit_159.cnf,13327,8307982,12644474,18451221445,2616171428,0,0,0,0,,291.00,4989.12,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/2c7cb0ff324a42a0699c23317c97a29a-6s320rb1_Iter8.cnf,7399,4175561,6673469,21378883776,423540768,0,0,0,0,,147.00,4998.86,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/2f9cb22859718ab6c201726a91cfefe1-aws-encryption-sdk-c:aws_cryptosdk_priv_try_gen_key.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/78a0e76b68b536e2ea7d801fc6061cd2-grid-color-12-14-14-cb.cnf,49147,34659552,47195144,2227243049,4161814512,0,0,0,0,,399.00,3986.05,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/09d8544494e54bc756438e69567b4ba7-mp1-klieber2017s-0300-034-t12.cnf,10587,6587561,7225544,20549327132,260862921,0,0,0,0,,70.00,4998.54,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/6b7e3415d7bd20be605b1f9723c43d68-Carry_Bits_Fast_5.cnf.cnf,14888,9158543,11274236,15968523297,691954203,0,0,0,0,,95.00,4998.79,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/c221c5dc006de79e561124dab52aae82-mdp-28-12-unsat.cnf,62969,44574084,46120699,8861081290,1063940129,0,0,0,0,,94.00,4998.36,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d9e9100c382d44fb67af82f8d69814f1-cfi-rigid-t2-0048-03-or_3_shuffle_all.cnf,27,4915,60837,1453435,1734350,0,0,0,0,,532.00,2.75668,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/048142b6048cb6c10415e08f68a2c3a3-GP_81_430_13.cnf,10235,6270236,1871551202,11379748380,139647315,0,0,0,0,,1618.00,3330.34,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/bb80971144a5423532aea9424dade891-div-mitern174.cnf,1405,657180,804528,258135117,17184692,0,0,0,0,,11.00,65.5861,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/fec4ba2cf2416933dcf7b8153be97344-bz-X-4-7-6.cnf,3565,1819199,2371214,4011529698,77328386,0,0,0,0,,50.00,924.926,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/7ff8c9781b3ada449ce489cdf444a760-Break_unsat_10_15.xml.cnf,37373,27289404,34927042,10157208283,1295865290,0,0,0,0,,152.00,4997.12,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/b29cb3449d70126d186e1f6a4fccc419-pj2015_k9.cnf,1341,631878,311247087,16438054903,27245025,0,0,0,0,,324.00,5000.97,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/98dbd257808e551fd26cad78ba520955-ITC2021_Late_2.xml.cnf,10749,6674638,23155731,20656859500,2283313343,0,0,0,0,,336.00,4989.58,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/07b7859003d84402cbb1ebdc37655d55-6s186_Iter20.cnf,16874,11659097,16448732,13465873676,551930511,0,0,0,0,,80.00,3506.18,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/b8e3b884886922343f5cb72d92c24b97-frb75-13-2.used-as.sat04-878.cnf,8190,4911711,6004013,580311531,292473763,0,0,0,0,,47.00,577.182,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/95c00d0ae51d5d0a2a931ce82b77701f-af-synthesis_stb_50_140_0_sat.cnf,5339,3045658,3671189,3024438570,138280222,0,0,0,0,,67.00,1028.72,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/e436f6303d3f499969eafe05b0914a4b-bmc_QICE_snp_vld_50.cnf,472,171575,77857343,2597574923,1964142,0,0,0,0,,3594.00,4953.47,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/85aa1f0820da17412b8ee803b4a85207-sudoku-N30-4.cnf,542,238495,6214169,9368123311,562672680,0,0,0,0,,404.00,4994.81,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/cd72a64e1b857fd30b9ec831cf462bf1-mp1-21.7.cnf,1150,552612,5357733,62112336,32522400,0,0,0,0,,42.00,27.7984,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/e55a49d8065d65650f24c0f3ecef30b6-af-synthesis_stb_50_120_4_unsat.cnf,8190,4892113,5718628,4870593509,209045474,0,0,0,0,,66.00,1602.8,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/be2b20414899ed839ac14bf8b9365692-pj2016_k140.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/65138afdf7eb054be5131f2b0de84369-satch2ways12u.cnf,381,140091,323960,53331363,4698083,0,0,0,0,,14.00,12.6571,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/c0df94532b1ca8a705d3af05378f377d-SCPC-500-20.cnf,604,256102,363168,16184167,10839467,0,0,0,0,,13.00,24.8948,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/48eacbc152c7710dfd6fe17a8a17199e-SCPC-500-7.cnf,1420,662878,971029,40382917,30198577,0,0,0,0,,25.00,76.419,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/02223564bd2f5c20768e63cf28c785e3-mp1-squ_ali_s10x10_c39_abio_SAT.cnf,638,272952,391649,49718999,7588734,0,0,0,0,,8.00,12.9974,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7.cnf,907,380303,3755806,485400517,7866024,0,0,0,0,,1219.00,279.457,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/351746fa3de2464c903c85e726cfed55-linked_list_swap_contents_safety_unwind67.cnf,68,19835,6299971,1873014108,57296997,0,0,0,0,,2177.00,669.939,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/0c0e6faa4abb622f5bea636ff04d341d-grid-color-12-14-2-cb.cnf,5628,3177370,4264203,241546839,397539745,0,0,0,0,,143.00,243.48,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/9954ccd77da65ad003b73bf38de3bd78-4d_perfect_euler_bricks.cnf,6074,3369112,19407252,16256520154,258925107,0,0,0,0,,479.00,4993.29,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/e0b938c32e36e2939d712dd4024f9ec6-j3037_9_mdd_b.cnf,16382,10502701,13010782,15077376269,502549447,0,0,0,0,,86.00,4131,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/b3cf73d0383f781adf09a2192fa03a15-string_compare_safety_cbmc_unwinding_670.cnf,580,250666,10611593,7795671711,169270852,0,0,0,0,,2324.00,4033.84,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/ddcb0cd9b7bca43c3a5189326ae88aab-linked_list_swap_contents_safety_unwind71.cnf,63,17060,4819734,1614271167,52645967,0,0,0,0,,2234.00,556.833,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/ba8621490e4e7212fffdb55fb6bd282d-combined-crypto1-wff-seed-108-wffvars-500-cryptocplx-31-overlap-2.cnf,42545,30689182,36459384,2006964736,820593791,0,0,0,0,,112.00,4998.42,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/0b495cc867003b7ac112b7c47256228b-h31_large.cnf,8191,5059749,19416521,14724372582,799374435,0,0,0,0,,304.00,4994.2,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/cd7c8f8aa9901293a9bc31839eafcc40-reconf10_42_queen20_4_0961.cnf,2200,1178281,3927255,14175585727,475064997,0,0,0,0,,333.00,4991.66,0,0,0,0,0,INDETERMINATE
