SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2022-Main/c2828483a78420f9a90e3ed9728c06cc-GP_100_951_37.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/0398e6b20de133ba8b49c74b67dad7b7-6s133-sc2014.cnf,32767,23131159,64456979,15226367693,1336583699,0,0,0,0,,195.00,4997.35,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d702aa8568706efda8308ef8d24f907b-div-mitern167.cnf,32767,23897933,28531470,14789416648,885165621,0,0,0,0,,99.00,4982.4,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/7c15baa29f2228703e5161bfabd91773-reconf10_140_queen6_1.cnf,3581,1857354,5529058,4642182354,110921505,0,0,0,0,,276.00,1026.29,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e25f9f0d4ef05401fd9ab45a2538c1c-summle_X111117_steps8_I1-2-2-4-4-8-25-100.cnf,1022,436947,915848,1355352101,27071316,0,0,0,0,,57.00,365.937,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/d6c845a5f92ebc059b3f0ab2f6d395ed-cfi-rigid-z2-0088-02-or_2_shuffle_all.cnf,3581,1855532,56677872,1112899847,533314005,0,0,0,0,,1095.00,1316.12,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/129162378e8ad29b5485a9c53feee4b7-hantzsche_wendt_unit_93.cnf,2684,1395427,1728284,1708578440,205399000,0,0,0,0,,79.00,381.261,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/5e66b728b2445ec69f27e0f1a49f4b29-006.cnf,36861,26775451,79114510,4105237371,3973713665,0,0,0,0,,219.00,3237.86,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/78cdffdf5bbb89beb753f9ffab7fa45f-sudoku-N30-6.cnf,574,248587,5717977,8747615223,453437901,0,0,0,0,,405.00,4819.37,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/08e151e72fe10402a49463171aa557e8-abw-V-nos6.mtx-w220.cnf,,,,,,0,0,0,0,,,,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/c3b4a96d92da617218449abad4334d6d-div-mitern164.cnf,29691,19733080,24633622,15420080976,884471476,0,0,0,0,,90.00,4998.27,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/d78819115db81dee343d7777fbc5844f-cfi-rigid-s2-0064-02-or_2.cnf,893,373384,2712453,217900989,136379463,0,0,0,0,,945.00,129.488,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/c1cb62f85f0c6a29c5d3c47d25fbc24a-Carry_Bits_Fast_23.cnf.cnf,8191,5104858,5727187,5176971817,217570840,0,0,0,0,,56.00,1563.78,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/cfa14a7015b0f7fecd98e898f3c95896-velev-vliw-sat-4.0-b8.cnf,31,6641,1944370,95227518,348064,0,0,0,0,,657.00,34.1061,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/eb659cd21250abdc8c9cec49073c32c6-linked_list_swap_contents_safety_unwind59.cnf,60,13499,9710164,1076970973,35230649,0,0,0,0,,1651.00,402.157,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/56e7489da32260e1bdd085a418592ec2-cliquecoloring_n18_k6_c5.cnf,131071,107143266,177341758,1674518474,2845335980,0,0,0,0,,284.00,4979.29,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/e5f5dbace0183455d167a88100312c34-Nb52T6.cnf,493,178148,1497396,8929789628,5465657,0,0,0,0,,1080.00,4989.72,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2022-Main/ca6db14aaa04027d2b8af47ec910bd68-cfi-rigid-s2-0064-04-or_2.cnf,2044,942082,5396969,571699368,287640688,0,0,0,0,,1072.00,395.368,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2022-Main/6f956a3f95ccaf35a3de1fe72b9cf79e-soelberg_unit_109.cnf,2553,1308824,1720168,2276490280,346334677,0,0,0,0,,120.00,502.978,0,0,0,0,0,UNSATISFIABLE
