SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,589,253055,1803338,527635295,20139382,0,0,0,0,,113.00,235.125,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,13,1958,162367,8501447,109195,0,0,0,0,,64.00,4.0488,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,315,116080,1081191,234216807,9462730,0,0,0,0,,94.00,99.1206,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,396,149826,1339414,476930048,10763738,0,0,0,0,,94.00,191.752,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,235,74211,881341,149531511,4752070,0,0,0,0,,94.00,92.2476,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,412,153342,1219832,266328036,11500065,0,0,0,0,,94.00,154.039,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,470,171327,1633136,404753699,12426775,0,0,0,0,,94.00,270.157,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,108,29269,344261,70820724,1995740,0,0,0,0,,83.00,47.2415,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,188,58566,902593,136312308,3941909,0,0,0,0,,94.00,65.4754,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,520,232119,1682838,475093879,20013677,0,0,0,0,,94.00,223.309,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,171,54790,612328,65003435,4125274,0,0,0,0,,94.00,26.7937,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,363,132235,1285022,262240191,10270871,0,0,0,0,,124.00,131.659,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,69,19855,373186,28446937,1165114,0,0,0,0,,83.00,11.8325,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,498,178817,1634943,472584576,13994916,0,0,0,0,,94.00,340.464,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,490,176866,1614742,406925630,14027616,0,0,0,0,,94.00,284.033,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1261.cnf,442,160745,1255560,350605816,11778935,0,0,0,0,,94.00,173.556,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1281.cnf,217,69125,776301,203039101,4750844,0,0,0,0,,94.00,96.8901,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1301.cnf,660,279671,2390593,735979933,23199068,0,0,0,0,,94.00,351.06,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1321.cnf,364,132265,1054007,253984763,9567508,0,0,0,0,,94.00,127.914,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1341.cnf,536,235490,2156498,382750282,21384328,0,0,0,0,,94.00,193.685,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1361.cnf,301,113303,956979,190279492,8327286,0,0,0,0,,94.00,88.5269,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1381.cnf,459,169084,1447407,332646966,12781726,0,0,0,0,,94.00,165.339,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1401.cnf,120,32139,503475,56334905,1940421,0,0,0,0,,83.00,29.5757,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-141.cnf,134,45853,562563,66404531,3551449,0,0,0,0,,94.00,31.1383,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1421.cnf,204,66409,633607,150823317,4594889,0,0,0,0,,94.00,65.089,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1441.cnf,533,235128,2052668,527839983,19236470,0,0,0,0,,94.00,213.829,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1461.cnf,732,302251,2140739,823978355,27099092,0,0,0,0,,124.00,315.719,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1481.cnf,680,285246,1826695,712509006,22878765,0,0,0,0,,94.00,350.027,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1501.cnf,335,125105,1075886,331513360,9565587,0,0,0,0,,112.00,120.103,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1521.cnf,258,102877,914606,166732065,8634921,0,0,0,0,,113.00,61.722,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1541.cnf,889,366131,2499525,1503582279,27329924,0,0,0,0,,94.00,667.406,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1561.cnf,662,280113,2025515,602396854,21299557,0,0,0,0,,94.00,238.376,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1581.cnf,120,32106,499332,72896335,1776150,0,0,0,0,,83.00,29.1715,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1601.cnf,734,303015,2399384,930037194,23279473,0,0,0,0,,94.00,366.81,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-161.cnf,73,20817,401574,36580571,1537072,0,0,0,0,,83.00,12.9703,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1621.cnf,246,76843,1046943,142520036,4907773,0,0,0,0,,94.00,87.0741,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1641.cnf,751,306516,2272593,766807937,26095523,0,0,0,0,,94.00,346.457,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1661.cnf,201,65805,848218,155965410,4936077,0,0,0,0,,94.00,95.1437,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1681.cnf,616,259660,1826536,441783101,22776667,0,0,0,0,,113.00,209.064,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1701.cnf,174,56167,880794,116237631,3617475,0,0,0,0,,94.00,52.5403,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1721.cnf,269,104694,937339,196085710,8409871,0,0,0,0,,94.00,108.79,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1741.cnf,700,290425,1901767,788832250,26810945,0,0,0,0,,94.00,363.875,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1761.cnf,748,306056,2308329,926449314,22866922,0,0,0,0,,94.00,494.105,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1781.cnf,351,129988,1240766,274547072,9546561,0,0,0,0,,94.00,115.806,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1801.cnf,449,167086,1382572,280566464,12040158,0,0,0,0,,94.00,118.817,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-181.cnf,94,25758,339113,46342706,1793063,0,0,0,0,,83.00,18.0507,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1821.cnf,483,175801,1896639,468696502,13801664,0,0,0,0,,94.00,212.791,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1841.cnf,653,278065,2324560,886385602,25003748,0,0,0,0,,124.00,356.649,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1861.cnf,443,161210,1474178,330356445,12348554,0,0,0,0,,94.00,132.832,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1881.cnf,595,253794,2165605,737490918,21675157,0,0,0,0,,94.00,286.906,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1901.cnf,764,311651,2674839,970832552,25083778,0,0,0,0,,94.00,450.28,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1921.cnf,63,16326,348449,16065280,825408,0,0,0,0,,80.00,6.49047,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1941.cnf,715,297146,2242127,859036785,24464033,0,0,0,0,,94.00,451.358,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1961.cnf,341,126234,1441192,228962984,8401668,0,0,0,0,,94.00,168.679,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1981.cnf,242,75996,898711,136260314,5138442,0,0,0,0,,94.00,72.7151,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2001.cnf,851,356708,2520800,1103697212,33642341,0,0,0,0,,124.00,419.855,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-201.cnf,15,2596,134462,11542658,122185,0,0,0,0,,65.00,5.1848,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2021.cnf,617,259689,1781301,681829293,22105948,0,0,0,0,,94.00,317.142,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2041.cnf,669,283047,1857246,887698424,24486363,0,0,0,0,,94.00,402.346,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2061.cnf,784,336889,2275456,988202872,27369807,0,0,0,0,,94.00,399.276,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2081.cnf,396,149559,1432450,293345634,11262628,0,0,0,0,,94.00,121.987,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2101.cnf,743,304467,2538973,1083169359,23590289,0,0,0,0,,94.00,444.01,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-2121.cnf,635,263790,2149220,905101395,22503455,0,0,0,0,,94.00,376.229,0,0,0,0,0,SATISFIABLE
