SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ccp-s5-facto3.cnf,127981,96727922,215340753,1898801072,1921818549,0,0,0,0,,239.00,4996.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ndist.b.26487.cnf,10,1456,4658446,11364958,6387,0,0,0,0,,87.00,25.4224,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/sgen6-1200-5-1.cnf,35002,25788629,29423567,845849618,809467386,0,0,0,0,,98.00,4998.78,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/VanDerWaerden_pd_2-3-20_388.cnf,3581,1871437,2292036,52188645,48075145,0,0,0,0,,24.00,77.2444,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/em_7_4_8_fbc.cnf,4093,2108557,2918084,449153674,213138709,0,0,0,0,,58.00,457.737,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/bvslt_19860.cnf,219,69588,395343966,7059716884,3196998,0,0,0,0,,597.00,4995.66,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/EDP3-60000.cnf,6908,3913564,20586282,7641956675,921484230,0,0,0,0,,698.00,4987.89,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/rnd-v25-e81-k9.cnf,574,249335,953074,202258725,17569379,0,0,0,0,,66.00,86.07,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ndist.b.20499.cnf,5,527,2093866,4227460,1742,0,0,0,0,,63.00,11.1316,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ccp-s5-facto4.cnf,131071,108196712,363778865,2373953212,2318485210,0,0,0,0,,292.00,4995.11,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/EDP3-20000.cnf,10074,6200957,31034955,12078080071,1560203899,0,0,0,0,,373.00,4987.86,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/hid-uns-enc-7-1-0-0-0-0-11545.cnf,32763,21498493,33133274,6324668049,2830877853,0,0,0,0,,245.00,4988.88,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mod2c-rand3bip-sat-250-1.shuffled-as.sat05-2533.cnf,7292,4139231,4427865,290286781,92797939,0,0,0,0,,24.00,344.643,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mrpp_4x4#4_24.cnf,56,12685,440306,3484892,77170,0,0,0,0,,9.00,0.898395,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/shift1add.21964.cnf,255,90540,483600990,4423650997,172292,0,0,0,0,,141.00,2523.15,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ccp-s10-facto1.cnf,69629,54639931,70560313,1597017685,2358916892,0,0,0,0,,209.00,4989.06,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/edges-072-3-7925777-19.cnf,15356,9432758,10814964,437999411,181927925,0,0,0,0,,38.00,767.94,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mrpp_4x4#6_6.cnf,8,1205,8987,92543,6384,0,0,0,0,,6.00,0.036889,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/rook-55-0-1.cnf,5352,3052361,28021963,6579188592,515214984,0,0,0,0,,473.00,4995.38,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/crafted_n10_d6_c2_num6.cnf,1436,667645,997231,937925891,234018396,0,0,0,0,,201.00,306.833,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/bvashr_0710.cnf,1661,782442,121118223,11265780861,12610941,0,0,0,0,,270.00,4995.77,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/rook-63-1-1.cnf,13934,8577123,56189143,9465229666,982480185,0,0,0,0,,334.00,4997.4,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/SAT_instance_N=99.cnf,8190,4809082,13475528,15021585667,370314800,0,0,0,0,,144.00,4995.52,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/edges-025-4-1237111-1-00.cnf,65535,49611459,57760776,1024194759,904176764,0,0,0,0,,101.00,4998.05,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mrpp_8x8#20_24.cnf,8190,4820943,41337998,1253893629,169211346,0,0,0,0,,64.00,408.786,0,0,0,0,0,SATISFIABLE
