SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ccp-s5-facto3.cnf,100348,78084851,160060342,1510178659,1568539039,0,0,0,0,,169.00,3468.93,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ndist.b.26487.cnf,149,49403,102391778,373152746,227045,0,0,0,0,,93.00,131.404,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/sgen6-1200-5-1.cnf,33662,24980376,28412480,821193965,772076774,0,0,0,0,,127.00,5003.56,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/VanDerWaerden_pd_2-3-20_388.cnf,2459,1281676,1558828,37051424,30700061,0,0,0,0,,24.00,49.1053,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/em_7_4_8_fbc.cnf,5500,3115847,4241462,662972119,319189658,0,0,0,0,,53.00,625.17,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/bvslt_19860.cnf,255,97054,492067976,9534273990,12691142,0,0,0,0,,608.00,4994.87,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/EDP3-60000.cnf,9214,5799724,64303269,12026945740,1598994119,0,0,0,0,,937.00,4992.46,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/rnd-v25-e81-k9.cnf,3963,2015391,6357518,1745151051,168780420,0,0,0,0,,150.00,619.557,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ndist.b.20499.cnf,78,22558,58368109,214567948,90244,0,0,0,0,,65.00,62.3905,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ccp-s5-facto4.cnf,131069,101597710,328397256,2168992401,2342079664,0,0,0,0,,280.00,4994.96,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/EDP3-20000.cnf,8190,4827527,33407198,10103886068,1292246329,0,0,0,0,,504.00,4990.13,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/hid-uns-enc-7-1-0-0-0-0-11545.cnf,32765,21787938,32521135,6453789739,2742557716,0,0,0,0,,201.00,4995.53,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mod2c-rand3bip-sat-250-1.shuffled-as.sat05-2533.cnf,3847,1975103,2130962,137479037,43820287,0,0,0,0,,22.00,132.494,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mrpp_4x4#4_24.cnf,61,13876,493388,3801445,85483,0,0,0,0,,9.00,0.909539,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/shift1add.21964.cnf,254,89347,1079720145,6241992875,131186,0,0,0,0,,142.00,1719.08,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/ccp-s10-facto1.cnf,88315,67643332,87938434,1761180945,2921750780,0,0,0,0,,216.00,4995.43,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/edges-072-3-7925777-19.cnf,9642,6002228,7043128,265372405,109205100,0,0,0,0,,35.00,361.097,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/mrpp_4x4#6_6.cnf,10,1499,10055,114599,10642,0,0,0,0,,6.00,0.039796,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/rook-55-0-1.cnf,4092,2098450,57419152,5302976716,402629473,0,0,0,0,,486.00,4990.89,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/crafted_n10_d6_c2_num6.cnf,1038,515667,714935,986214431,148888447,0,0,0,0,,199.00,286.741,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/bvashr_0710.cnf,1460,672545,110512343,10979407279,11364276,0,0,0,0,,263.00,4996.98,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/rook-63-1-1.cnf,9341,5890991,85110847,8957119448,846109172,0,0,0,0,,287.00,4994.24,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2014-Combinatorial/SAT_instance_N=99.cnf,8190,4896126,13633964,15881765633,382907538,0,0,0,0,,169.00,4997.25,0,0,0,0,0,INDETERMINATE
