SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2021-Main/5f46b414cc65b2e992e59f49d1f02be1-satch2ways12wu.cnf,887,365611,489979,187822082,11517834,0,0,0,0,,18.00,42.692,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/139c1262e5901a684005ffad897aa7eb-maximum_constrained_partition_18_bits_n200.cnf,1022,459741,1533422,254108241,16655197,0,0,0,0,,51.00,61.9695,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/afaee41956622725cf3bb98db6ff9bbb-SC21_Timetable_C_241_E_34_Cl_16_S_13.cnf,12285,7483020,339842661,18909760320,394665128,0,0,0,0,,194.00,4997.63,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/e4058a36518bf65fac7b0b866f139235-sp4-33-one-stri-tree-noid.cnf,2515,1299584,1698425,323614916,105226845,0,0,0,0,,58.00,177.568,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fb621b2b4a54ec0f01ac36daaa7f0f5b-HCP-470-105.cnf,65528,45968615,71941325,5574675616,1536198662,0,0,0,0,,350.00,4980.33,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3cff772a004fbdf616a65ec099ec7bd5-b2005-p1-12x12c10h7-Ser4-0.cnf,9214,5815055,10657856,12956067870,1309691177,0,0,0,0,,307.00,4983.92,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/606bd8b9c178c8445d8c3fc413d46885-mp1-klieber2017s-1000-024-eq.cnf,19066,12871316,13526572,13913886708,455804688,0,0,0,0,,110.00,4998.3,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b63f00e3eccd98dfa7bae6c4e1e0cdd0-at-least-two-maris-s03-gripper11.cnf,7353,4161445,6781925,886643793,309763056,0,0,0,0,,82.00,296.695,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/5fb0d1f02c02c6a7fb485707b637d7e4-bvsub_12973.smt2.cnf,3580,1833659,485211504,9504430056,12916285,0,0,0,0,,240.00,4008.6,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c1c25b65adbd9fdde56cd489ab557e71-spg_300_312.cnf,8191,5305086,22766188,10645960740,223708695,0,0,0,0,,514.00,4992.33,0,0,0,0,0,INDETERMINATE
