SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SAT2021-Main/5f46b414cc65b2e992e59f49d1f02be1-satch2ways12wu.cnf,765,315483,395983,157141054,9894799,0,0,0,0,,17.00,36.4714,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/139c1262e5901a684005ffad897aa7eb-maximum_constrained_partition_18_bits_n200.cnf,1724,806036,2539016,601996023,43952454,0,0,0,0,,66.00,164.797,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/afaee41956622725cf3bb98db6ff9bbb-SC21_Timetable_C_241_E_34_Cl_16_S_13.cnf,9883,6123488,236158908,15723545263,314350096,0,0,0,0,,196.00,4996.39,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/e4058a36518bf65fac7b0b866f139235-sp4-33-one-stri-tree-noid.cnf,1835,857181,1126049,229687488,60228040,0,0,0,0,,43.00,101.749,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/fb621b2b4a54ec0f01ac36daaa7f0f5b-HCP-470-105.cnf,53499,38631158,61181850,5102197865,1324970602,0,0,0,0,,338.00,4978.39,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/3cff772a004fbdf616a65ec099ec7bd5-b2005-p1-12x12c10h7-Ser4-0.cnf,8191,5085821,9061834,11495927771,1098496728,0,0,0,0,,304.00,4987.19,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/606bd8b9c178c8445d8c3fc413d46885-mp1-klieber2017s-1000-024-eq.cnf,24711,16855367,17637070,17913626203,581821809,0,0,0,0,,81.00,4998.68,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b63f00e3eccd98dfa7bae6c4e1e0cdd0-at-least-two-maris-s03-gripper11.cnf,13089,8135484,12198162,1722970887,488372938,0,0,0,0,,102.00,630.729,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/5fb0d1f02c02c6a7fb485707b637d7e4-bvsub_12973.smt2.cnf,3578,1825870,509289521,9727294548,12626561,0,0,0,0,,245.00,4209.77,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/c1c25b65adbd9fdde56cd489ab557e71-spg_300_312.cnf,7674,4287100,17002827,10421300800,174876296,0,0,0,0,,446.00,4991.8,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/b88d206fb35ef87bd7ec5d4a1430ae0c-20-100-p100-55_sat.cnf,9725,6054828,11376329,11372068934,187611266,0,0,0,0,,151.00,4996.36,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/c50dd1b0f41a1adcdfed8d663add9428-20-100-lambda100-65_sat.cnf,3578,1825361,3519506,1341195820,43498910,0,0,0,0,,49.00,387.457,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SAT2021-Main/3354c5f91c523cfc42dab6a40129d102-size_5_5_5_i003_r12.cnf,54666,39201783,51361426,8675936845,2335565640,0,0,0,0,,186.00,4996.09,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SAT2021-Main/68dc114bb8e479d8cc81faed8b2fceb5-Kakuro-easy-156-ext.xml.hg_7.cnf,1972,903419,4799554,1010657540,20373389,0,0,0,0,,1518.00,522.335,0,0,0,0,0,SATISFIABLE
