SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,6,667,64617,9584106,48899,0,0,0,0,,67.00,4.64895,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,94,25696,451635,34435117,1329747,0,0,0,0,,85.00,20.8086,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,410,152517,1653228,458167749,9170086,0,0,0,0,,95.00,230.734,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,462,169981,2325450,550809101,12661964,0,0,0,0,,95.00,281.202,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,141,47096,750586,130105342,2448971,0,0,0,0,,96.00,70.6185,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,570,243944,2913433,688452791,21090933,0,0,0,0,,125.00,358.601,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,185,57910,1254997,206845632,3589366,0,0,0,0,,96.00,128.819,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,366,133198,2147897,461855762,8118713,0,0,0,0,,96.00,231.074,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,59,13087,268971,87104510,664367,0,0,0,0,,73.00,46.6754,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,185,57828,872788,102662893,3947848,0,0,0,0,,95.00,60.4795,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,530,234355,2357593,557034009,17292950,0,0,0,0,,96.00,211.129,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,526,233602,2597610,695452046,17599366,0,0,0,0,,96.00,289.756,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,6,619,38385,12870620,19596,0,0,0,0,,66.00,7.37968,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,599,254684,2875115,685978516,18613981,0,0,0,0,,96.00,333.399,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,284,108133,1356333,423153792,6852928,0,0,0,0,,96.00,204.12,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1261.cnf,76,21155,590203,112251774,920628,0,0,0,0,,85.00,61.6086,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1281.cnf,529,234272,2285324,756966459,19529393,0,0,0,0,,125.00,375.138,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1301.cnf,77,21504,387696,38259534,1399132,0,0,0,0,,85.00,19.8105,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1321.cnf,93,24885,528226,78339536,1374509,0,0,0,0,,85.00,44.4638,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1341.cnf,325,122724,1925266,450994808,7995111,0,0,0,0,,96.00,175.969,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1361.cnf,398,150671,1770524,239564040,10850489,0,0,0,0,,95.00,122.369,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1381.cnf,764,312610,3239441,672857561,23163905,0,0,0,0,,125.00,328.228,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1401.cnf,318,121307,1651766,470470324,8277590,0,0,0,0,,96.00,227.457,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-141.cnf,2,179,30562,5784154,8300,0,0,0,0,,65.00,2.97281,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1421.cnf,475,172590,2293444,500718193,10944022,0,0,0,0,,96.00,242.336,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1441.cnf,588,252253,3136300,864289995,17689879,0,0,0,0,,96.00,424.779,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1461.cnf,457,168383,2506599,636492932,11426248,0,0,0,0,,96.00,232.373,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1481.cnf,6,730,65783,10069930,68041,0,0,0,0,,66.00,6.26585,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1501.cnf,532,234541,2768742,679126689,16943678,0,0,0,0,,96.00,340.306,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1521.cnf,549,239710,3116753,972902889,21686484,0,0,0,0,,125.00,417.418,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1541.cnf,546,239241,2524274,744525596,21457305,0,0,0,0,,125.00,361.535,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1561.cnf,124,33297,655476,147382465,1711849,0,0,0,0,,85.00,69.6639,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1581.cnf,397,150568,1951396,288445891,9498357,0,0,0,0,,95.00,148.746,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1601.cnf,197,64937,1023726,108481466,4775998,0,0,0,0,,95.00,57.3081,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-161.cnf,63,17453,302872,67899601,984556,0,0,0,0,,85.00,27.373,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1621.cnf,548,239388,2211204,506749094,22060613,0,0,0,0,,125.00,196.838,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1641.cnf,494,178159,2677152,500953289,12662067,0,0,0,0,,125.00,251.018,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1661.cnf,524,232563,2573369,369975412,14629173,0,0,0,0,,96.00,192.474,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1681.cnf,276,106473,1437629,165417292,8433130,0,0,0,0,,96.00,90.1553,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1701.cnf,35,8499,158192,14208604,490031,0,0,0,0,,73.00,8.14377,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1721.cnf,382,141138,1357683,190191571,10258654,0,0,0,0,,95.00,94.3816,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1741.cnf,314,115786,1736966,351557204,8912712,0,0,0,0,,125.00,183.336,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1761.cnf,619,260111,2994773,920456250,17862979,0,0,0,0,,114.00,444.371,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1781.cnf,453,167878,2430117,559740627,10961946,0,0,0,0,,96.00,282.923,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1801.cnf,459,169051,2501085,631726307,11778128,0,0,0,0,,96.00,318.539,0,0,0,0,0,SATISFIABLE
