SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,29,5330,223470,13408412,148267,0,0,0,0,,65.00,6.05734,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,2715,1409145,7355635,2816084642,154200980,0,0,0,0,,131.00,1184.39,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,6452,3702911,16687397,7555896006,450148513,0,0,0,0,,179.00,3337.83,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,2707,1407416,7414181,2784173711,161849217,0,0,0,0,,131.00,1135.49,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,2986,1516389,8062209,3221482888,173860956,0,0,0,0,,131.00,1222.34,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,3371,1753872,9311280,5496069503,205761342,0,0,0,0,,131.00,2265.22,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,10236,6290581,25851151,12213992933,801608636,0,0,0,0,,221.00,4996.8,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,1745,811300,5221226,1614888592,83145152,0,0,0,0,,131.00,619.382,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,1309,621906,3949109,1098423439,57835996,0,0,0,0,,124.00,442.78,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,4093,2150720,10963815,4512092696,240295090,0,0,0,0,,180.00,1771.82,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,2200,1177452,6596923,2232442215,126767375,0,0,0,0,,132.00,897.868,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,1132,542934,3740609,1068167230,55478439,0,0,0,0,,124.00,449.776,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,1945,896022,5493021,1926816341,95687019,0,0,0,0,,124.00,847.156,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,1402,648456,4471934,1514889258,67132677,0,0,0,0,,124.00,670.059,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1241.cnf,1628,770129,4811219,1958727740,85491985,0,0,0,0,,124.00,795.908,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1261.cnf,1753,812679,5152677,1569567336,85275988,0,0,0,0,,124.00,578.641,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1281.cnf,8190,4870505,21096719,12076812221,657349340,0,0,0,0,,210.00,4698.58,0,0,0,0,0,SATISFIABLE
