SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1001.cnf,255,99564,1429154,363069295,5935465,0,0,0,0,,96.00,159.667,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-101.cnf,5,519,22399,8878153,17323,0,0,0,0,,66.00,4.22592,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1021.cnf,25,4779,75479,16361956,319454,0,0,0,0,,66.00,7.321,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1041.cnf,539,235743,2469246,298472086,18362203,0,0,0,0,,96.00,132.227,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1061.cnf,698,288881,2635679,638407486,22022995,0,0,0,0,,96.00,268.463,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1081.cnf,536,235347,2445781,402352979,18687532,0,0,0,0,,95.00,187.582,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1101.cnf,321,122085,1652422,215926717,8800405,0,0,0,0,,96.00,83.2442,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1121.cnf,112,30761,825127,135962636,1712784,0,0,0,0,,85.00,61.6803,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1141.cnf,474,171857,2573932,399267627,11286101,0,0,0,0,,96.00,170.646,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1161.cnf,665,280602,2537253,425406228,21089446,0,0,0,0,,96.00,158.545,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1181.cnf,114,31058,431856,49743036,1927481,0,0,0,0,,85.00,24.2148,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1201.cnf,584,251483,2778286,587710146,18052615,0,0,0,0,,96.00,273.02,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-121.cnf,15,2409,57022,19472316,122276,0,0,0,0,,66.00,10.0109,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/benchmark-500/satcoin-genesis-SAT-1221.cnf,716,297768,3111988,507855292,24303449,0,0,0,0,,125.00,242.792,0,0,0,0,0,SATISFIABLE
