SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-85150.cnf,1403,649150,4240603,13109658198,43702372,0,0,0,0,,125.00,4998.01,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-25750.cnf,1023,489828,3878086,8760755151,30873657,0,0,0,0,,96.00,3313.49,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-70300.cnf,1168,561063,3821260,8898536889,39891305,0,0,0,0,,125.00,3468.57,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-86500.cnf,1442,668820,4414773,16014683780,43629139,0,0,0,0,,125.00,4999.08,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-92800.cnf,1193,567226,3812323,12525450324,34695487,0,0,0,0,,125.00,4998.4,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-71650.cnf,1787,825889,5637610,14445917841,60753442,0,0,0,0,,125.00,4997.84,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-50500.cnf,1022,448417,3470454,9365434254,26668600,0,0,0,0,,96.00,3201.22,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-13150.cnf,284,107935,1656067,306674956,8009308,0,0,0,0,,96.00,133.6,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-78850.cnf,1278,606443,4286101,13064826558,33854901,0,0,0,0,,126.00,4997.6,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-77950.cnf,2244,1192932,6628975,13031925147,114949534,0,0,0,0,,132.00,5003.91,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-46900.cnf,1533,717439,5139201,12533678801,54188222,0,0,0,0,,162.00,4998.63,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-40600.cnf,956,395383,3682565,4286617134,28483556,0,0,0,0,,126.00,1713.85,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-10900.cnf,900,379246,4045639,4719108613,23685331,0,0,0,0,,96.00,1880.93,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-46900.cnf,1556,747700,4821154,12191803742,54834589,0,0,0,0,,125.00,4998.73,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-10900.cnf,701,293763,3432347,962276638,20213934,0,0,0,0,,96.00,378.914,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-40600.cnf,1165,560184,3981752,13740004770,31592979,0,0,0,0,,95.00,4998.92,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-13150.cnf,1020,418834,3971988,5086681221,25614895,0,0,0,0,,96.00,1986.79,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-92800.cnf,1565,751287,4749291,14145555690,50624570,0,0,0,0,,114.00,4998.54,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-71650.cnf,1176,562338,3370166,12919328616,34841136,0,0,0,0,,125.00,4996.76,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-50500.cnf,1382,643918,3744209,12882011996,42376675,0,0,0,0,,95.00,4997.63,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-77950.cnf,1532,699994,4904325,13358633119,48638628,0,0,0,0,,125.00,4998.49,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-78850.cnf,956,395354,4637639,2984387457,35026692,0,0,0,0,,125.00,1108.49,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-70300.cnf,1127,541382,3550011,12860545966,31661323,0,0,0,0,,125.00,4998.22,0,0,0,0,0,INDETERMINATE
