SOLVER_NAME 0,PROBLEM 1,RESTARTS 2,CONFLICTS 3,DECISIONS 4,PROPAGATIONS 5,CONF_LITS 6,EXT_VARS 7,EXT_DECISIONS 8,CONF_EXT_CLAUSES 9,LEARNT_EXT_CLAUSES 10,LEARNT_LBD 11,MEM_USED 12,CPU_TIME 13,ER0_TIME 14,ER1_TIME 15,ER2_TIME 16,ER3_TIME 17,ER4_TIME 18,SATISFIABILITY 19
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-85150.cnf,1943,895826,5431940,12936129461,65293186,0,0,0,0,,97.00,4998.34,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-25750.cnf,1531,695542,4577040,12367323597,52529015,0,0,0,0,,125.00,4998.42,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-70300.cnf,1786,822459,5107740,12209235848,83267977,0,0,0,0,,162.00,4997.97,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-86500.cnf,1564,749055,4939283,11659050775,54953364,0,0,0,0,,125.00,4998.2,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-92800.cnf,1513,689627,4565216,12208699303,49912284,0,0,0,0,,125.00,4998.1,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-71650.cnf,1370,639975,4837624,7701282167,62649785,0,0,0,0,,162.00,2855.59,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-50500.cnf,1658,776238,5544906,11037129164,64753799,0,0,0,0,,125.00,4408.3,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-13150.cnf,1278,610938,4870139,4171382414,65403219,0,0,0,0,,162.00,1692.88,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-78850.cnf,1534,720167,4717890,12998219952,56269197,0,0,0,0,,125.00,4999.03,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-77950.cnf,1789,833532,5277315,12508449979,58396297,0,0,0,0,,125.00,4998.78,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-46900.cnf,1938,895075,5525187,10949332644,82040736,0,0,0,0,,132.00,4998.02,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-40600.cnf,1023,491167,4286729,11090604118,31237970,0,0,0,0,,125.00,4998.19,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-10900.cnf,1789,841634,5548339,4895963976,80039089,0,0,0,0,,125.00,2403.42,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-46900.cnf,2044,942398,6188938,9979132218,86973763,0,0,0,0,,125.00,4998.26,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-10900.cnf,1199,568961,4115396,3027189243,55631669,0,0,0,0,,125.00,1266.71,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-40600.cnf,1498,685015,4691130,12337973552,45690904,0,0,0,0,,125.00,4996.93,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-13150.cnf,1110,536377,4329087,5089916214,47758420,0,0,0,0,,162.00,2085.05,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-92800.cnf,1607,764220,4488402,12735558787,55099886,0,0,0,0,,125.00,4998.16,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-71650.cnf,1688,793200,5304701,11327450585,68205788,0,0,0,0,,125.00,4995.97,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-50500.cnf,2813,1460492,8303041,10893126944,145830909,0,0,0,0,,180.00,4997.68,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-77950.cnf,1533,708957,4430566,13006059266,49408166,0,0,0,0,,125.00,4998.87,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-78850.cnf,1276,593909,4459562,4320573222,61140898,0,0,0,0,,144.00,1695.59,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-70300.cnf,1095,533214,3711019,11963832362,37315157,0,0,0,0,,126.00,4997.81,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-86500.cnf,1534,725972,5094902,11992853994,50809947,0,0,0,0,,125.00,4997.91,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-85150.cnf,2040,924288,5672841,12477797575,77254861,0,0,0,0,,133.00,4997.45,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-25750.cnf,956,394745,3615851,2068826573,34570715,0,0,0,0,,125.00,858.296,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-33400.cnf,1072,524093,3999471,7686307179,41658481,0,0,0,0,,125.00,3042.68,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-42850.cnf,1667,788951,5016115,12054534632,60187694,0,0,0,0,,96.00,4998.05,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-20350.cnf,859,358461,3413136,1636545388,28567433,0,0,0,0,,96.00,685.183,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-100000.cnf,2047,1033018,6700832,11922871255,103284096,0,0,0,0,,125.00,4997.6,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-65800.cnf,2046,975047,6233329,11984337513,86630654,0,0,0,0,,132.00,4998.35,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-75700.cnf,2043,934442,6388978,12063619587,77341741,0,0,0,0,,125.00,4998.33,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-39250.cnf,1281,615522,4335771,6849195708,49297284,0,0,0,0,,96.00,2813.37,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-18100.cnf,1012,410188,3411022,5718925909,30768433,0,0,0,0,,126.00,2266.97,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-52750.cnf,1530,695070,4412882,6019649569,58615282,0,0,0,0,,125.00,2424.02,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-19450.cnf,1803,847970,5837665,7351300380,78513692,0,0,0,0,,125.00,3188.15,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-82450.cnf,1123,540573,4504727,3520900596,52252023,0,0,0,0,,162.00,1469.46,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-53200.cnf,1661,784094,4835540,10873279094,66403594,0,0,0,0,,125.00,4618.03,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-19450.cnf,1022,437605,3636474,7604130330,32336376,0,0,0,0,,125.00,3285.53,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-82450.cnf,1734,809016,4961873,12211086772,61115632,0,0,0,0,,114.00,4998.17,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-53200.cnf,1648,774425,5164461,13175739741,61272164,0,0,0,0,,125.00,4998.63,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-75700.cnf,1532,701669,4947906,11958034766,49414894,0,0,0,0,,96.00,4990.3,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-39250.cnf,2046,996987,5643005,11373942192,98937794,0,0,0,0,,162.00,4989.36,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-18100.cnf,1020,418866,3435192,7561966754,25356761,0,0,0,0,,96.00,3391.39,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-52750.cnf,2174,1167925,7595516,11505552963,110761787,0,0,0,0,,133.00,4998.11,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-42850.cnf,1659,777027,5337183,13766342365,60894940,0,0,0,0,,125.00,4998.97,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-20350.cnf,1355,636704,5258619,8254779618,58745481,0,0,0,0,,125.00,3452.09,0,0,0,0,0,UNSATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-33400.cnf,1999,913830,5764227,12635475823,77309806,0,0,0,0,,125.00,5003.54,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-65800.cnf,3068,1556427,9273351,12983501132,162189837,0,0,0,0,,133.00,4998.48,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-SAT-63550.cnf,1789,842656,5709563,12136274251,67067887,0,0,0,0,,132.00,4778.56,0,0,0,0,0,SATISFIABLE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-26200.cnf,1887,873638,5812715,12795061573,67042967,0,0,0,0,,125.00,4998.16,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-57250.cnf,1508,688717,4781019,12606796561,45066554,0,0,0,0,,95.00,4997.94,0,0,0,0,0,INDETERMINATE
maplesat,/scratch/z654liu/SATCoin-Harder-Benchmark/satcoin-genesis-UNSAT-36100.cnf,1277,597188,4136929,12646345253,52642568,0,0,0,0,,162.00,4998.27,0,0,0,0,0,INDETERMINATE
